x,0.3971,0.3379,0.1154,0.1414,0.1423,0.1422,0.1415,0.1414,0.1414,0.1412,0.1412,0.1411,0.1411,0.141,0.1411,0.1411,0.1409,0.1409,0.1409,0.1408,0.1408,0.1408,0.1406
y,0.336,0.5556,0.3415,0.041,0.0391,0.0404,0.0399,0.0403,0.0409,0.0407,0.0408,0.0409,0.0412,0.0409,0.0411,0.0413,0.0411,0.0411,0.0413,0.0412,0.0411,0.0413,0.0415
,,,,,,,,,,,,,,,,,,,,,,,
ipRGC-Influenced Responses to Light,,,,,,,,,,,,,,,,,,,,,,,
414,0.00E+00,0.00E+00,0.00E+00,4.14E-08,1.75E-06,2.30E-06,6.33E-06,3.81E-06,2.88E-06,6.34E-06,6.77E-06,7.03E-07,0.00E+00,4.49E-06,8.52E-06,9.94E-06,1.04E-05,1.22E-05,1.50E-05,7.35E-06,1.27E-05,1.39E-05,1.49E-05
415,0.00E+00,1.23E-08,0.00E+00,3.56E-07,3.97E-06,6.78E-06,5.83E-06,4.96E-06,4.62E-06,5.71E-06,1.08E-05,7.67E-06,1.51E-06,4.83E-06,3.93E-06,7.19E-06,1.44E-05,1.29E-05,1.45E-05,1.02E-05,7.26E-06,1.17E-05,1.69E-05
416,0.00E+00,2.35E-08,0.00E+00,1.70E-06,3.42E-06,5.43E-06,7.27E-06,4.91E-06,4.84E-06,5.62E-06,8.84E-06,7.23E-06,4.01E-06,5.29E-06,4.98E-06,1.14E-05,1.09E-05,1.52E-05,1.57E-05,1.15E-05,9.90E-06,1.20E-05,1.65E-05
417,0.00E+00,0.00E+00,0.00E+00,2.22E-06,2.85E-06,4.00E-06,2.36E-06,1.77E-06,6.44E-06,7.14E-06,1.02E-05,1.12E-05,6.19E-06,9.23E-06,9.19E-06,1.30E-05,1.18E-05,1.28E-05,1.83E-05,1.85E-05,1.32E-05,1.42E-05,2.15E-05
418,0.00E+00,0.00E+00,0.00E+00,4.68E-07,4.74E-06,7.34E-06,1.04E-05,4.11E-06,7.72E-06,9.07E-06,7.08E-06,1.59E-05,6.53E-06,1.87E-05,1.17E-05,1.16E-05,1.11E-05,1.60E-05,1.48E-05,2.29E-05,1.91E-05,7.38E-06,2.06E-05
419,2.25E-09,0.00E+00,0.00E+00,1.16E-06,3.98E-06,2.95E-06,7.85E-06,7.68E-06,4.44E-06,9.72E-06,1.45E-05,1.46E-05,1.09E-05,1.29E-05,1.82E-05,2.16E-05,2.19E-05,1.25E-05,2.02E-05,1.55E-05,2.16E-05,1.84E-05,2.49E-05
420,3.17E-08,0.00E+00,0.00E+00,1.19E-06,5.08E-06,3.39E-06,1.06E-05,6.65E-06,8.67E-06,1.19E-05,1.37E-05,1.41E-05,7.30E-06,1.92E-05,2.21E-05,2.33E-05,2.32E-05,2.24E-05,2.71E-05,2.82E-05,2.80E-05,2.40E-05,2.70E-05
421,0.00E+00,0.00E+00,0.00E+00,1.47E-06,5.71E-06,7.02E-06,1.07E-05,8.43E-06,1.06E-05,1.77E-05,1.71E-05,1.56E-05,1.21E-05,1.77E-05,2.24E-05,2.14E-05,2.70E-05,2.48E-05,3.05E-05,3.15E-05,3.26E-05,3.16E-05,3.33E-05
422,2.62E-08,0.00E+00,2.62E-08,1.93E-06,8.26E-06,9.54E-06,1.34E-05,1.53E-05,1.37E-05,2.20E-05,2.09E-05,1.54E-05,1.50E-05,2.22E-05,2.63E-05,2.91E-05,3.01E-05,3.08E-05,3.82E-05,3.10E-05,4.18E-05,4.07E-05,3.63E-05
423,6.81E-09,0.00E+00,6.81E-09,2.03E-06,8.72E-06,8.49E-06,1.41E-05,1.69E-05,1.71E-05,1.71E-05,2.56E-05,1.50E-05,2.37E-05,2.38E-05,3.10E-05,3.10E-05,3.44E-05,3.17E-05,4.31E-05,3.60E-05,4.49E-05,3.78E-05,4.87E-05
